,Data
1980,-5.4
1981,-6.0
1982,-6.6
1983,-7.4
1984,-8.55
1985,-9.45
1986,-10.2
1987,-11.05
1988,-11.8
1989,-12.6
1990,-13.45
1991,-14.1
1992,-14.95
1993,-15.65
1994,-16.45
1995,-17.3
1996,-17.95
1997,-18.55
1998,-19.3
1999,-20.15
2000,-20.6
2001,-21.35
2002,-22.15
2003,-23.1
2004,-23.55
2005,-24.25
2006,-24.5
2007,-24.9
2008,-25.15
2009,-24.85
2010,-24.65
2011,-24.65
2012,-24.9
2013,-25.25
2014,-25.5
2015,-25.65
2016,-25.55
2017,-26.0
2018,-26.1
2019,-25.95
2020,-25.85
2021,-26.0
2022,-26.4
2023,-27.1
2024,-27.75
2025,-28.25
2026,-28.5
2027,-28.5
2028,-29.35
2029,-30.4
2030,-30.95
2031,-31.3
2032,-31.7
2033,-32.1
2034,-31.9
2035,-32.7
2036,-32.55
2037,-33.2
